imdb_id,10,9,8,7,6,5,4,3,2,1
tt0114709,"201,928","243,934","314,380","148,628","45,591","16,793","6,538","3,526","2,438","5,553"
tt0113497,"29,162","26,810","75,502","115,990","60,865","22,928","8,438","3,368","1,645","1,535"
tt0113228,"2,704","1,645","4,057","7,906","6,777","2,872","1,059",458,212,250
tt0114885,"1,472",543,"1,236","1,834","2,090","1,682",888,476,308,619
tt0113041,"2,899","1,603","3,848","7,787","10,874","6,755","2,720","1,091",614,658
tt0113277,"130,203","164,570","200,046","100,918","32,525","11,702","4,624","2,490","1,664","3,927"
tt0114319,"3,088","2,379","5,774","9,987","10,468","5,492","2,219","1,036",544,659
tt0112302,947,331,706,"1,559","2,584","2,465","1,174",590,284,377
tt0114576,"2,020",905,"2,610","6,104","9,811","7,377","3,269","1,427",679,762
tt0113189,"20,866","24,886","65,914","87,020","37,177","12,933","4,602","2,043","1,150","1,703"
tt0112346,"4,965","5,020","11,114","17,391","11,412","4,471","1,688",741,414,734
tt0112896,"4,012","1,860","4,213","7,407","9,299","7,196","3,843","2,211","1,216","1,074"
tt0112453,"6,472","3,914","8,539","13,110","7,219","2,955","1,046",437,214,436
tt0113987,"2,759","3,090","6,738","9,862","4,836","1,965",691,378,300,700
tt0112760,"1,632",977,"2,519","5,219","6,709","5,050","2,852","1,585",989,"1,001"
tt0112641,"87,740","130,807","175,187","82,498","24,159","8,488","3,286","1,917","1,340","3,417"
tt0114388,"18,626","18,434","34,293","26,926","10,751","4,090","1,500",799,523,994
tt0113101,"8,423","8,518","20,454","29,650","19,354","9,193","4,498","2,230","1,318","1,907"
tt0112281,"17,613","12,434","29,496","52,736","50,860","27,872","12,968","6,798","3,993","3,977"
tt0113845,"1,323",717,"2,285","6,934","12,630","9,891","4,176","1,874",822,770
tt0113161,"4,679","6,560","18,284","27,610","15,652","6,600","2,520","1,188",619,814
tt0112722,"2,988","3,087","9,770","19,359","15,395","5,971","2,159",829,380,504
tt0112401,"4,594","3,388","10,416","22,745","23,473","11,271","4,335","1,952",959,926
tt0114168,"3,882","2,392","4,697","7,079","6,162","3,258","1,395",751,436,844
tt0113627,"14,364","19,032","37,580","30,186","12,741","5,326","2,459","1,387",965,"1,597"
tt0114057,777,842,"1,962","3,015","1,771",747,278,121,77,167
tt0114011,"5,761","2,540","4,790","6,510","5,557","2,807","1,101",515,302,517
tt0114117,"2,438","1,885","2,652","2,003",964,432,159,93,67,112
tt0112682,"11,074","11,671","19,303","14,088","6,412","2,733","1,313",784,558,"1,072"
tt0115012,487,580,"1,415","1,727",849,366,118,59,46,75
tt0112792,"4,543","2,957","7,959","14,227","12,947","6,220","2,424","1,084",557,685
tt0114746,"81,656","139,389","210,707","114,783","39,361","14,806","6,378","3,515","2,481","4,751"
tt0114952,71,44,87,169,178,76,26,25,10,23
tt0112431,"13,110","10,997","22,708","34,564","23,540","11,221","4,611","2,383","1,417","1,837"
tt0112637,577,550,964,"1,422","1,034",474,212,116,72,119
tt0112818,"9,085","13,689","30,901","25,799","9,361","3,433","1,312",730,490,"1,102"
tt0112286,35,34,41,58,28,25,13,6,7,55
tt0113442,"2,929","1,035","2,143","3,871","4,987","3,915","1,939",957,580,671
tt0112697,"25,459","19,245","41,550","60,575","40,069","17,527","7,279","3,381","1,930","2,303"
tt0112749,233,193,275,495,360,153,55,40,20,55
tt0114279,"1,704","2,235","4,164","3,690","1,587",670,320,147,124,224
tt0112819,"2,169","1,731","4,537","6,646","4,356","1,717",684,308,213,359
tt0114272,731,707,"1,655","2,721","1,948",935,391,177,93,206
tt0113855,"10,759","4,328","11,396","21,636","27,558","20,134","10,457","5,918","3,371","3,221"
tt0114681,"3,155","3,570","9,677","14,961","9,775","4,053","1,697",825,480,642
tt0113347,"1,081",704,"1,668","2,575","2,886","1,477",654,342,175,325
tt0114369,"380,190","553,359","442,875","178,528","44,650","16,485","7,504","4,701","3,543","8,197"
tt0114148,"18,360","12,685","29,611","52,185","42,935","19,013","7,064","2,891","1,592","1,934"
tt0114916,"1,263",709,"1,076","1,425","1,128",655,309,176,120,289
tt0114814,"264,781","342,765","283,054","120,185","36,719","13,944","6,151","3,469","2,730","7,270"
tt0109950,36,15,13,49,64,100,57,52,24,42
tt0113819,"2,247","3,536","9,396","14,220","6,915","2,301",800,451,265,597
tt0110299,310,370,652,512,216,101,28,27,20,37
tt0112499,886,298,731,"1,389","2,363","2,309","1,166",586,307,298
tt0113158,265,271,446,670,614,318,184,138,80,112
tt0113541,49,14,17,20,50,70,44,39,18,21
tt0113321,"1,765","1,126","2,230","2,900","2,553","1,356",625,304,203,333
tt0110877,"5,566","6,888","11,709","7,415","2,657","1,109",494,285,223,483
tt0112714,278,278,362,304,142,95,47,19,22,53
tt0113419,"1,860",873,"2,690","5,840","8,773","5,369","2,168",893,447,556
tt0116260,"1,090",650,"1,807","3,566","4,674","2,570","1,325",691,308,289
tt0113862,"5,742","5,340","9,527","9,970","4,779","2,150",875,519,350,593
tt0116126,"7,959","3,846","8,477","13,081","10,319","5,580","2,957","1,759",977,"1,286"
tt0118002,284,116,315,748,"1,335","1,449",849,429,252,252
tt0115683,"2,645",707,"1,568","2,641","3,692","4,003","3,436","2,766","2,446","4,143"
tt0116839,448,41,86,175,305,601,827,"1,386","1,988","3,839"
tt0114753,329,129,389,785,891,478,204,109,53,117
tt0113149,309,315,725,"1,311","1,189",614,243,136,75,131
tt0113118,"18,818","12,380","26,349","31,142","14,516","5,801","2,327","1,253",762,"1,330"
tt0116367,"27,813","33,475","82,835","93,002","43,301","17,277","7,575","4,018","2,548","3,904"
tt0113010,433,186,374,922,"1,644","2,542","2,664","1,859","1,258","1,244"
tt0113537,"1,416","1,243","2,455","3,580","2,462","1,241",515,291,140,250
tt0113828,862,596,755,775,403,171,89,70,43,86
tt0115644,961,530,942,"1,511","1,934","1,195",616,299,199,238
tt0115676,306,82,178,434,824,"1,177",907,576,316,427
tt0114367,"1,801","1,327","3,807","7,209","6,871","3,448","1,563",752,410,484
tt0113973,109,75,167,177,92,51,13,6,7,26
tt0112744,701,613,"1,736","3,549","3,742","1,799",742,380,230,308
tt0116731,579,454,"1,219","3,297","5,515","4,573","1,834",832,420,356
tt0112445,"1,217","1,153","2,325","1,712",638,249,114,85,90,106
tt0114660,"2,189","2,346","5,635","8,177","5,401","2,289",981,450,300,359
tt0112379,"1,546","1,489","2,261","1,868",824,425,175,132,103,240
tt0114039,120,68,100,114,35,37,12,8,7,46
tt0113612,33,36,46,67,72,65,18,23,19,42
tt0112365,358,464,"1,121","1,179",741,360,171,98,71,116
tt0118158,"1,724","1,432","3,986","6,894","5,702","2,504",913,452,237,347
tt0116151,"1,272",445,945,"1,675","2,251","2,637","1,560",880,509,580
tt0115697,"3,072","1,897","5,218","9,974","10,563","5,535","2,422","1,201",684,679
tt0113972,"2,349","1,378","4,793","12,378","12,541","5,722","2,130",892,453,511
